O. Zawada,62,22,ST,67,Wisła Płock,€400K,Right
A. Gryszkiewicz,62,18,LB,75,Górnik Zabrze,€475K,Left
K. Nowak,62,23,RM,66,Górnik Zabrze,€400K,Right
C. Stefańczyk,62,34,RB,62,Wisła Płock,€90K,Right
M. Piątkowski,62,33,ST,62,Miedź Legnica,€190K,Right
A. Danek,62,23,RM,68,Cracovia,€425K,Right
W. Pawłowski,62,25,GK,65,Górnik Zabrze,€270K,Right
A. Dźwigała,62,22,LCB,68,Wisła Płock,€350K,Right
M. Nalepa,62,23,LDM,70,Arka Gdynia,€450K,Right
K. Michalak,62,20,RM,76,Lechia Gdańsk,€675K,Right
T. Socha,62,30,RB,62,Arka Gdynia,€220K,Right
K. Fila,61,20,RB,72,Lechia Gdańsk,€375K,Right
J. Łukowski,61,22,LM,68,Wisła Płock,€350K,Right
K. Pestka,61,19,LB,71,Cracovia,€350K,Left
B. Urbański,61,20,CM,71,Willem II,€400K,Left
A. Ryczkowski,61,21,LM,70,Górnik Zabrze,€400K,Right
K. Zapolnik,61,25,RM,64,Górnik Zabrze,€325K,Right
K. Danielak,61,26,RM,61,Arka Gdynia,€270K,Right
M. Ambrosiewicz,61,20,CM,70,Górnik Zabrze,€375K,Right
D. Byrtek,61,27,CB,63,Piast Gliwice,€250K,Right
M. Pawelec,61,32,RB,61,Śląsk Wrocław,€140K,Right
M. Warcholak,61,28,LB,61,Wisła Płock,€200K,Left
T. Mokwa,61,25,RB,64,Piast Gliwice,€260K,Right
P. Stępiński,61,23,LB,67,Wisła Płock,€290K,Right
P. Klimala,61,19,ST,73,Jagiellonia Białystok,€450K,Right
M. Pałaszewski,60,20,CDM,71,Śląsk Wrocław,€325K,Right
W. Hajda,60,18,CDM,74,Górnik Zabrze,€375K,Right
K. Michalski,60,18,RB,75,Górnik Zabrze,€375K,Right
S. Walukiewicz,60,18,RCB,76,Pogoń Szczecin,€375K,Right
D. Rasak,60,22,CDM,67,Wisła Płock,€250K,Right
A. Krysiak,60,28,GK,60,FK Bodø/Glimt,€150K,Right
I. Łasicki,60,23,CB,67,Wisła Płock,€250K,Right
F. Piszczek,60,23,ST,67,Cracovia,€300K,Right
M. Górski,60,28,ST,60,Korona Kielce,€210K,Right
D. Gojko,60,20,RM,68,Piast Gliwice,€300K,Right
K. Miś,60,22,LB,66,Wisła Płock,€240K,Right
L. Kosakiewicz,60,27,LB,60,Korona Kielce,€170K,Right
L. Budziłek,60,27,GK,61,Pogoń Szczecin,€160K,Right
M. Drawz,60,19,ST,75,Hamburger SV,€450K,Left
A. Purzycki,60,20,RCM,68,Miedź Legnica,€270K,Right
R. Wolsztyński,60,23,ST,66,Górnik Zabrze,€290K,Left
A. Chrzanowski,60,19,CB,71,Lechia Gdańsk,€300K,Left
A. Siemaszko,59,21,ST,66,Zagłębie Lubin,€220K,Right
K. Grabara,59,19,GK,76,Liverpool,€280K,Right
P. Kucharczyk,59,21,CB,62,Śląsk Wrocław,€170K,Right
J. Wrąbel,59,22,GK,69,Śląsk Wrocław,€190K,Right
K. Pytlik,59,20,CB,66,VfL Sportfreunde Lotte,€190K,Right
T. Kucz,59,18,GK,75,Bayer 04 Leverkusen,€260K,Right
J. Bednarczyk,59,19,LM,77,Bayer 04 Leverkusen,€325K,Left
T. Klupś,59,18,RM,76,Lech Poznań,€325K,Right
